"slot_id","group","lineage_id","parent_slot_id","text_sha256","is_seed","realized_raised_usd","deepseek_win_rate","qwen_wins","qwen_matches","qwen_win_rate","qwen_minus_deepseek"
"global-final:g12-s07","global_final","g12-s07","","a0332b15b378cdc78d7d20c89e3a76edbebe33b887c855ddadab020297060538","false","","0.283300","42.0","60","0.700000","0.416700"
"polished:g12-s07","polished","g12-s07","global-final:g12-s07","7448c4f2d289ee98e651140151e8867232dc147b9c2cc5e72e3b9c393966c325","false","","0.633300","47.0","60","0.783333","0.150033"
"global-final:g12-s08","global_final","g12-s08","","72bd330db2459cbe06fefe7d7ae4faa69ed9579753bc051c230dd4cbddc63e71","false","","0.350000","43.0","60","0.716667","0.366667"
"polished:g12-s08","polished","g12-s08","global-final:g12-s08","4545c58d409e54fbc60b1a20f3e69ddaf47b0473c7980837acb2864bd4e0bf16","false","","0.700000","50.0","60","0.833333","0.133333"
"global-final:g12-s09","global_final","g12-s09","","527c2a6f6185a335cf663f73b8fcaaae65e03304c376eda52f0bb82af8c12a07","false","","0.383300","45.0","60","0.750000","0.366700"
"polished:g12-s09","polished","g12-s09","global-final:g12-s09","9ccc358e4e2d7d7032df7c4ad616e77e0ebc8542707e8d9c5559c5acd5630e2d","false","","0.700000","51.0","60","0.850000","0.150000"
"global-final:g12-s10","global_final","g12-s10","","bfd8d8c0a88fff89568989fd19dc6a2b158f68f1d3d55a291d2e60f39dc88e00","false","","0.383300","35.0","60","0.583333","0.200033"
"polished:g12-s10","polished","g12-s10","global-final:g12-s10","8cbcf6de7b8f03801a4c5d2447e993b486447536a9b52b23f33aa420d6c2112e","false","","0.666700","48.0","60","0.800000","0.133300"
"global-final:g12-s11","global_final","g12-s11","","954b5b2175394bcf681c26ce5231b1733f2931108886c4856dc849239a1ec06c","false","","0.316700","36.0","60","0.600000","0.283300"
"polished:g12-s11","polished","g12-s11","global-final:g12-s11","ee955626596ef843ca21083400260afe994b83e80f6e7898bd40067ea6a84106","false","","0.566700","42.0","60","0.700000","0.133300"
"global-final:g12-s12","global_final","g12-s12","","c8be55f1937e08bcd6632777064454032cee3b0250dd76b73e2481406e874c49","false","","0.383300","42.0","60","0.700000","0.316700"
"polished:g12-s12","polished","g12-s12","global-final:g12-s12","4103b257cda23c46a7dce56dbe3c7a066705a6c583f2f074f69e6b35ce7dfbe7","false","","0.600000","42.0","60","0.700000","0.100000"
"global-final:g12-s13","global_final","g12-s13","","e4e2c903e233836822bd16a62d1997bf1dd7443a00dbe09e8c3d370aa8281254","false","","0.400000","44.0","60","0.733333","0.333333"
"polished:g12-s13","polished","g12-s13","global-final:g12-s13","63c7c5d70ac9a332acb73d9c997502a5ca9c76eabb2a9a740e609fbc3f7c7348","false","","0.550000","48.0","60","0.800000","0.250000"
"global-final:g12-s14","global_final","g12-s14","","a1c3dbef8c0a616967368279c9037044722314d89ae0a912c413a77adb6797d5","false","","0.350000","44.0","60","0.733333","0.383333"
"polished:g12-s14","polished","g12-s14","global-final:g12-s14","12f9e88b367a3a42d602ac1bd8f37b796e1daf72e3e3f675244fcb3ebe655243","false","","0.683300","44.0","60","0.733333","0.050033"
"local-only:angelry","local_only","angelry","original:angelry","e998567ffb17f0419ee91c7187bca02487b60f74913cdac58f1ae34ead5d9cd8","false","","0.450000","13.0","60","0.216667","-0.233333"
"local-only:bugout-battery","local_only","bugout-battery","original:bugout-battery","8f82f5e80e45cde10961a31449791c0fa43b2768f7707d1d2ab3f29665649577","false","","0.766700","49.0","60","0.816667","0.049967"
"local-only:genaix","local_only","genaix","original:genaix","0b4097a5b5ef229820cb5afed993237b761bf89fcbff6527b072814c33a27d0b","false","","0.608300","56.0","60","0.933333","0.325033"
"local-only:hooper","local_only","hooper","original:hooper","2273ed0fa9f74037405d6b70e3dff086cd3e92a0875d47f7ad18fb56feca7752","false","","0.733300","35.0","60","0.583333","-0.149967"
"local-only:hply","local_only","hply","original:hply","91b2e880fa0a0e25bdedce76872aa8f860c51167cba137cd37c0702551e93514","false","","0.900000","53.0","60","0.883333","-0.016667"
"local-only:kebo","local_only","kebo","original:kebo","d00323c981e143d7bd5b868e56f502bb6901a2f31dfb2bc2ac2e21055cc458f4","false","","0.216700","4.0","60","0.066667","-0.150033"
"local-only:lockguard","local_only","lockguard","original:lockguard","3d8a0d0b69d3cb931800ef53374427a3c1a30fa8beab0a7df9afc39871265574","false","","0.800000","46.0","60","0.766667","-0.033333"
"local-only:lumivisor","local_only","lumivisor","original:lumivisor","f793f94b6025a8363aac8e53a1d86ecc3697f1574290906e74a561384a8fe958","false","","0.433300","10.0","60","0.166667","-0.266633"
"local-only:my-story","local_only","my-story","original:my-story","2cc2a07c7dcc4ee4025cc63615f79c1ee599f726d200a28ad16d9f425f940a97","false","","0.383300","34.0","60","0.566667","0.183367"
"local-only:remotion-ai","local_only","remotion-ai","original:remotion-ai","883d43de5ceaea7aa8f996703e0a0df1ce6967b874cb89b33afde5073d268315","false","","0.700000","38.0","60","0.633333","-0.066667"
"local-only:rent-a-bee","local_only","rent-a-bee","original:rent-a-bee","3657bdb647b11bf23b1097ddd93cc62a9111df0d1985c09eadbe20933c048839","false","","0.683300","42.0","60","0.700000","0.016700"
"local-only:sale-finder","local_only","sale-finder","original:sale-finder","aecf4eebbefc80ecd35dc4493f98368ed42da58864888ba43f5c2ce2dd485039","false","","0.783300","43.0","60","0.716667","-0.066633"
"local-only:viaia","local_only","viaia","original:viaia","c4c637d38b45e40ebf28df5e97aa17cb63f0891391f120138d63624cf7d802c8","false","","0.533300","25.0","60","0.416667","-0.116633"
"local-only:voyagx","local_only","voyagx","original:voyagx","24962dbe29d7715f4758a690b5239fb1f0ba6dc611d409e7900b1463e00a7a90","false","","0.366700","33.0","60","0.550000","0.183300"
"local-only:clockchain","local_only","clockchain","original:clockchain","f29ad5bbf5c31f41ebc75c89af0e832e230e635efd4abb4de115ac8765143ec8","false","","0.875000","45.0","60","0.750000","-0.125000"
